sl no,work,status,year,garam,work type,Total
165,______ ______ ______ ______ ______ ___ _________ ________ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892034620),,,,,
166,______ ______ ______ _________________ ___ ___ ____ _______,On Going,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892056051),,,,,
167,______ ______ _______ ______ ____ ___ ___ ____ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0672
,(1504009014/IF/93393042892056056),,,,,
168,______ ______ _______ _____ ____ ___ ___ ____ _______,On Going,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892056059),,,,,
169,______ ______ ______ ______ ______ ___ ___ ____ _______,On Going,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892056065),,,,,
170,______ ______ _______ ______ ______ ___ ___ ____ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.10752
,(1504009014/IF/93393042892056069),,,,,
171,_______ ______ ________ _______ _________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0672
,(1504009014/IF/93393042892062283),,,,,
172,_______ ______ _______ _______ ________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0672
,(1504009014/IF/93393042892062285),,,,,
173,_______ ______ _______ ______ _______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0672
,(1504009014/IF/93393042892062287),,,,,
174,_______ ______ _____ ________ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892062291),,,,,
175,_______ ______ _____ ________ ____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.08064
,(1504009014/IF/93393042892062293),,,,,
176,_______ ______ ______ _____ ___________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.09408
,(1504009014/IF/93393042892062295),,,,,
177,_______ ______ ____ ________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.34968
,(1504009014/IF/93393042892062297),,,,,
178,_______ ______ ________ ______ _______ ___ ___ ______ _______,On Going,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0672
,(1504009014/IF/93393042892062298),,,,,
179,________ ______ _______ _______ _______ ___ ____ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.2688
,(1504009014/IF/93393042892078288),,,,,
180,________ ______ __________ _______ _______ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.38976
,(1504009014/IF/93393042892078294),,,,,
181,________ ______ ______ _________ _______ ___ ____ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.28224
,(1504009014/IF/93393042892078518),,,,,
182,________ ______ _________ _______ ______ ___ ____ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.49728
,(1504009014/IF/93393042892078520),,,,,
183,_______ ______ _______ _._____ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.49728
,(1504009014/IF/93393042892080625),,,,,
184,_______ ______ ______ _______ _____________ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.30912
,(1504009014/IF/93393042892080627),,,,,
185,________ ______ ____ _______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892080632),,,,,
186,________ ______ _____ ______ ___ __________ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892080634),,,,,
187,________ ______ __________ _. _______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892080635),,,,,
188,__________ __________ ______ _______ ________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892086293),,,,,
189,__________ __________ _____ _____ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892086296),,,,,
190,_______ ______ ____________ ______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892087698),,,,,
191,_______ ______ ______ _________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892087951),,,,,
192,_______ ______ ______ _________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892087956),,,,,
193,_______ ______ _________ _ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892088050),,,,,
194,__________ ______ _____ ______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892088055),,,,,
195,_______ ______ ______ ______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892088061),,,,,
196,_______ ______ ________ ________ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892088062),,,,,
197,______ ______ _____ _______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.15048
,(1504009014/IF/93393042892088432),,,,,
198,_______ ______ ______ ______ _______ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.39872
,(1504009014/IF/93393042892089317),,,,,
199,________ ______ ________ ______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892090916),,,,,
200,________ ______ _______ _________ ___________ ___ ________ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892090918),,,,,
201,_______ ______ ________ _______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892091010),,,,,
202,_______ ______ ____ _______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.29872
,(1504009014/IF/93393042892091238),,,,,
203,_______ ______ ____ _______ _______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892091243),,,,,
204,_______ ______ ___________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892091327),,,,,
205,______ ______ _______ _____ _________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.12456
,(1504009014/IF/93393042892096768),,,,,
206,______ ______ ______ _______ _________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.0966
,(1504009014/IF/93393042892096775),,,,,
207,______ ______ _______ _______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.15712
,(1504009014/IF/93393042892108236),,,,,
208,______ ______ ______ ________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892108692),,,,,
209,______ ______ ____ ______ _________ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.12312
,(1504009014/IF/93393042892109636),,,,,
210,_______ ______ ________ ______ _____ __________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.28224
,(1504009014/IF/93393042892109761),,,,,
211,______ __________ _______ ______ _______ (______) ___ ____ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14768
,(1504009014/IF/93393042892110176),,,,,
212,_______ ______ _____ _______ ______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.09856
,(1504009014/IF/93393042892110181),,,,,
213,_______ ______ _______ ______ _______ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.1008
,(1504009014/IF/93393042892114085),,,,,
214,_______ ______ _______ _________ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892114087),,,,,
215,_______ ______ ____ ______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.12096
,(1504009014/IF/93393042892116333),,,,,
216,_______ ______ ______ _____ _____ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.28224
,(1504009014/IF/93393042892116966),,,,,
217,_______ ______ _____ _______ _______(_____) ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.28224
,(1504009014/IF/93393042892116991),,,,,
218,_______ ______ ______ ______ _____ ___ ___ ______ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892118073),,,,,
219,_______ ______ ______ ______ _____ ___ ___ ______ _______,On Going,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.14784
,(1504009014/IF/93393042892118077),,,,,
220,_______ ______ _______ ______ _____ ___ ________ ___ _______,Completed,2016-2017,Gram Panchayat,Works on Individuals Land (Category IV),0.16128
,(1504009014/IF/93393042892118556),,,,,
221,_______ __________ _______ _______ ____ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.20768
,(1504009014/IF/93393042892135264),,,,,
222,Narasapur village Shankravva Yallappa Madar hosing in ambedka yojane,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.17228
,(1504009014/IF/93393042892135275),,,,,
223,________ __________ ______ _______ ______ ___ __________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2832
,(1504009014/IF/93393042892135283),,,,,
224,_______ __________ _______ ______ _____________ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1652
,(1504009014/IF/93393042892135302),,,,,
225,_______ __________ ______ _____ ____ ___ 2015-16_____ ______ ____ _____ ___ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.17936
,(1504009014/IF/93393042892135520),,,,,
226,________ __________ ______ ______ ______ ___ 2015-16 _____ ___ ____ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1607
,(1504009014/IF/93393042892135523),,,,,
227,________ __________ _______ ________ _______ ___ 2015-16_____ ___ ____ ___ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.14632
,(1504009014/IF/93393042892135858),,,,,
228,_______ __________ ______ _____ ____ ___ ___ ______ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.09912
,(1504009014/IF/93393042892135864),,,,,
229,_______ __________ _______ _______ ____ ___ ___ ______ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892135869),,,,,
230,_______ ______ _______ _______ _______ ___ ___ ______ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.0826
,(1504009014/IF/93393042892136936),,,,,
231,_______ ______ _______ _____ _______ ___ __________ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.18172
,(1504009014/IF/93393042892136951),,,,,
232,_______ __________ ______ __________ _______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1652
,(1504009014/IF/93393042892136968),,,,,
233,_______ __________ ______ _____ _____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.14868
,(1504009014/IF/93393042892136976),,,,,
234,_______ __________ __________ _______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.09912
,(1504009014/IF/93393042892137051),,,,,
235,_______ __________ ______ _____ ____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.16992
,(1504009014/IF/93393042892137063),,,,,
236,_______ __________ _______ _________ _____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.09912
,(1504009014/IF/93393042892137072),,,,,
237,_______ __________ ________ _______ _______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892137083),,,,,
238,_______ __________ ______ _______ _____ ___ __________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2832
,(1504009014/IF/93393042892137351),,,,,
239,______ __________ ______ _______ ______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892137353),,,,,
240,______ __________ ______ __ ________ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.0826
,(1504009014/IF/93393042892137357),,,,,
241,______ ______ ______ __ ______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.0826
,(1504009014/IF/93393042892137360),,,,,
242,______ __________ _____ _ ____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892137364),,,,,
243,______ __________ ______ __ ______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.0826
,(1504009014/IF/93393042892137369),,,,,
244,_______ ______ _____ _______ _______ ___ 2016-17_____ ________ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1888
,(1504009014/IF/93393042892138099),,,,,
245,_______ ______ ________ ________ __ _____ ___ ___ ______ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08424
,(1504009014/IF/93393042892138122),,,,,
246,______ __________ ______ _______ _______ ___ ___ ______ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892138154),,,,,
247,______ __________ _______ _______ ____ ___ ___ ______ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1416
,(1504009014/IF/93393042892138155),,,,,
248,______ __________ _______ ______ _______ ___ ___ ______ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1416
,(1504009014/IF/93393042892138157),,,,,
249,______ __________ ______ ______ _________ ___ ___ ______ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892138158),,,,,
250,______ __________ _____ _______ ________ ___ ___ ______ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.14632
